"selec","View","Channel","bottom.freq","top.freq","Peak Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","start","end","Adulto","Polluelo","Clicks","Sobrelapamiento","Lejos","Agua/Viento","Otro animal","selec.file","sound.files"
50,"Spectrogram 1",1,0,1.8375,818.262,0.4967,1837.5,178.8077135,179.304462036,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
51,"Spectrogram 1",1,0,10.484559,818.262,0.5961,10484.559,185.84636432,186.442462564,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
52,"Spectrogram 1",1,0,10.376471,1335.059,0.4516,10376.471,187.53850938,187.990098958,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
55,"Spectrogram 1",1,0,10.376471,1550.391,0.4832,10376.471,190.089990497,190.573191346,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
59,"Spectrogram 1",1,0,10.700735,1507.324,1.1064,10700.735,190.578230352,191.684624819,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
60,"Spectrogram 1",1,0,10.484559,1722.656,0.2845,10484.559,191.680108923,191.964610358,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
64,"Spectrogram 1",1,0,10.484559,1507.324,0.4697,10484.559,196.972423935,197.442077097,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
66,"Spectrogram 1",1,0,10.592647,1248.926,1.0612,10592.647,200.707133116,201.768368625,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
67,"Spectrogram 1",1,0,10.592647,1291.992,1.2825,10592.647,204.579617882,205.862132284,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
68,"Spectrogram 1",1,0,10.484559,861.328,0.3658,10484.559,233.788182323,234.153969881,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
